premio_effet_anno_incorso,eta_polizza,bonus_malus
468.27,22,1C
490.63,6,1D
325.2,12,1D
328.46,13,1E
344.31,14,1F
298.76,22,1F
305.67,23,1G
320.31,6,1H
348.8,7,1F
350.84,8,1G
367.51,6,1H
225.59,7,1F
245.91,7,1G
257.7,6,1H
347.54,4,1D
343.48,5,1E
360.15,6,1F
404.8415,4,06
404.8415,5,05
423.94800000000004,6,04
386.971,21,1B
402.4004,22,1C
423.1351,23,1D
416.69,10,04
398.8,11,03
417.91,6,02
255.2443,9,1D
256.8923,10,1E
268.82626,6,1F
529.111,16,07
542.1096,17,06
541.58325,18,05
377.22,7,1F
392.26,7,1G
412.18,7,1H
382.09,19,1D
372.34,20,1E
390.23,21,1F
298.77,6,1E
319.91,7,1F
332.1,6,1G
386.23,8,1F
393.55,9,1G
408.59,7,1H
537.8454,9,08
515.8755,10,07
515.37463,11,07
463.55,19,1E
479.72,20,1F
489.89,6,1G
233.584,7,1F
240.9056,8,1G
249.61482,9,1H
161.41,14,1D
167.91,7,1E
176.45,8,1F
350.2412,11,1C
359.1816,12,1D
358.8329,13,1E
747.5019,12,06
726.3869,13,05
725.68164,14,05
436.72,14,02
447.57,15,01
464.64,16,1A
261.75,17,1D
263.78,18,1E
263.78,6,1E
236.14,5,1E
242.23,6,1F
254.84,6,1G
434.4849,5,1E
445.06300000000005,6,1F
467.3718,6,1G
254.22799999999998,20,1F
260.7384,21,1G
270.04047,22,1H
491.29,8,03
481.91,9,02
500.21,10,01
246.08,7,1F
306.27,8,1G
318.06,6,1H
253.93,6,1F
262.39,7,1G
272.55,6,1H
272.96,18,1F
305.89,19,1G
318.9,6,1H
435.15,9,1A
429.44,10,1B
445.7,11,1C
253.98,9,1F
277.03,10,1G
287.6,6,1H
501.96,10,1A
511.37,11,1B
530.88,6,1C
437.6264,8,1D
444.9497,9,1E
460.75534000000005,10,1F
451.5314,6,02
438.5225,7,01
454.34467,6,1A
221.3,14,1C
809.89,6,09
788.0,7,08
822.95,6,07
236.18,6,1F
289.43,7,1E
304.47,8,1F
243.16,6,1C
242.3,7,1D
254.08,7,1E
346.7083,6,1F
353.2076,7,1G
369.9049,7,1H
296.11,6,1F
300.8,7,1G
315.43,7,1H
590.3548,9,11
613.9315,10,10
644.1952,7,09
309.46,4,1E
315.41,5,1F
330.45,6,1G
397.31,4,1C
386.69,5,1D
405.39,6,1E
627.78,4,06
605.13,5,05
634.0,6,04
256.77,4,1E
258.02,5,1F
270.22,6,1G
337.75,15,1A
351.17,16,1B
351.17,6,1B
312.86,18,1E
355.86,19,1F
369.27,6,1G
656.0585,11,02
636.54,7,01
660.3093,7,1A
317.48,7,1E
350.91,7,1F
365.56,8,1G
282.14,6,1F
342.27,7,1G
354.87,6,1H
310.39,12,1E
322.99,13,1F
336.4,14,1G
672.28,6,07
650.19,7,06
674.99,6,05
321.36,6,1D
326.81,7,1E
326.81,8,1E
497.7269,10,01
482.7919,11,1A
500.1866,6,1B
301.43,11,1F
333.95,12,1G
346.15,6,1H
430.9829,9,1D
477.30199999999996,10,1E
499.60007,7,1F
368.2559,6,1B
382.8819,7,1C
396.33994,8,1D
340.621,17,1E
335.7491,18,1F
347.60648,7,1G
374.1269,8,1F
420.4666,9,1G
437.1192,7,1H
535.9502,8,1B
557.0858,9,1C
584.9556,7,1D
514.5571,7,04
514.5365,8,03
540.0192,7,02
441.69,11,1D
431.7,7,1E
440.65,6,1F
460.09,6,1F
473.7,7,1G
491.19,6,1H
443.7755,7,1F
449.4817,8,1G
449.04532,7,1G
263.37,7,1F
298.3,8,1G
309.27,9,1H
476.3,5,1D
493.0,6,1E
493.0,7,1E
452.28,5,1F
497.35,6,1G
517.27,7,1H
431.94,9,06
437.38,10,05
453.64,7,04
408.2714,8,1D
437.5234,7,1E
454.97235,7,1F
387.6714,7,1B
397.4255,8,1C
413.27727999999996,7,1D
431.964,7,02
426.2648,8,01
481.2736,9,03
454.0652,9,04
471.9563,7,03
490.98734,8,02
284.53,8,1C
295.91,9,1D
332.49,7,1C
423.5463,7,1D
447.94699999999995,7,1E
466.18845,7,1F
634.9229,9,04
604.0229,10,03
616.4533,11,02
581.847,16,1C
605.434,17,1D
620.2606,18,1E
476.0184,6,1E
258.6433,9,1F
289.5536,10,1G
289.2725,7,1G
322.94,16,1F
334.39,17,1G
346.99,7,1H
257.15,9,1D
267.32,10,1E
278.7,7,1F
374.09,8,1F
389.13,7,1G
405.4,7,1H
363.43,10,02
354.2,11,01
367.61,12,1A
274.4641,7,1F
315.9525,7,1G
328.63174,8,1H
232.8,7,1F
252.31,8,1G
262.88,7,1H
363.9917,7,1D
415.2033,8,1E
431.8713,7,1F
301.2441,7,1F
337.0057,7,1G
350.4774,7,1H
467.05,6,1F
478.03,7,1G
496.32,7,1H
317.05,13,01
324.78,14,1A
336.97,7,1B
491.4645,12,04
503.6597,13,03
523.48315,7,02
840.068,6,10
873.3988,7,09
908.2777,7,08
582.8255,8,01
597.4721,9,1A
621.2587,7,1B
341.8055,9,1A
